customer_id,customer_segment,signup_date,country,age_group,is_verified,credit_limit
CUST_000001,new,2023-01-01 00:00:00,UAE,25-34,True,5000
CUST_000002,standard,2023-01-01 02:00:00,UAE,25-34,True,5000
CUST_000003,standard,2023-01-01 04:00:00,Egypt,25-34,True,3000
CUST_000004,premium,2023-01-01 06:00:00,UAE,25-34,True,10000
CUST_000005,standard,2023-01-01 08:00:00,UAE,18-24,True,3000
CUST_000006,standard,2023-01-01 10:00:00,KSA,25-34,True,5000
CUST_000007,new,2023-01-01 12:00:00,KSA,35-44,True,3000
CUST_000008,standard,2023-01-01 14:00:00,UAE,25-34,True,3000
CUST_000009,new,2023-01-01 16:00:00,KSA,35-44,True,5000
CUST_000010,standard,2023-01-01 18:00:00,UAE,25-34,True,5000
CUST_000011,premium,2023-01-01 20:00:00,UAE,25-34,True,10000
CUST_000012,new,2023-01-01 22:00:00,UAE,18-24,True,10000
CUST_000013,new,2023-01-02 00:00:00,Egypt,25-34,True,10000
CUST_000014,standard,2023-01-02 02:00:00,UAE,35-44,True,5000
CUST_000015,new,2023-01-02 04:00:00,UAE,35-44,True,5000
CUST_000016,standard,2023-01-02 06:00:00,UAE,25-34,True,5000
CUST_000017,standard,2023-01-02 08:00:00,Egypt,25-34,True,5000
CUST_000018,standard,2023-01-02 10:00:00,UAE,35-44,True,5000
CUST_000019,premium,2023-01-02 12:00:00,UAE,25-34,True,20000
CUST_000020,premium,2023-01-02 14:00:00,UAE,18-24,True,3000
CUST_000021,premium,2023-01-02 16:00:00,UAE,45+,True,20000
CUST_000022,standard,2023-01-02 18:00:00,KSA,25-34,True,3000
CUST_000023,standard,2023-01-02 20:00:00,KSA,45+,True,5000
CUST_000024,standard,2023-01-02 22:00:00,UAE,25-34,True,3000
CUST_000025,new,2023-01-03 00:00:00,UAE,35-44,False,5000
CUST_000026,standard,2023-01-03 02:00:00,UAE,25-34,False,3000
CUST_000027,standard,2023-01-03 04:00:00,UAE,25-34,True,10000
CUST_000028,new,2023-01-03 06:00:00,UAE,25-34,True,10000
CUST_000029,standard,2023-01-03 08:00:00,KSA,25-34,True,5000
CUST_000030,premium,2023-01-03 10:00:00,Kuwait,18-24,True,5000
CUST_000031,standard,2023-01-03 12:00:00,Kuwait,25-34,True,20000
CUST_000032,standard,2023-01-03 14:00:00,Egypt,18-24,True,10000
CUST_000033,new,2023-01-03 16:00:00,KSA,35-44,False,5000
CUST_000034,new,2023-01-03 18:00:00,KSA,25-34,True,10000
CUST_000035,standard,2023-01-03 20:00:00,UAE,18-24,True,5000
CUST_000036,new,2023-01-03 22:00:00,KSA,18-24,True,5000
CUST_000037,new,2023-01-04 00:00:00,UAE,18-24,True,5000
CUST_000038,standard,2023-01-04 02:00:00,UAE,25-34,False,5000
CUST_000039,new,2023-01-04 04:00:00,KSA,18-24,True,3000
CUST_000040,standard,2023-01-04 06:00:00,UAE,35-44,True,5000
CUST_000041,new,2023-01-04 08:00:00,UAE,18-24,True,5000
